"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045071","GO:0045071","negative regulation of viral genome replication","4/18","55/18888",0.0727272727272727,76.3151515151515,17.2757033639613,1.90987282453639e-07,7.62039256990019e-05,5.16670858848265e-05,"91543/4599/3434/9636",4
"GO:0045069","GO:0045069","regulation of viral genome replication","4/18","85/18888",0.0470588235294118,49.3803921568627,13.8069282115344,1.11383170089922e-06,0.000127562319880891,8.64886326589872e-05,"91543/4599/3434/9636",4
"GO:0034340","GO:0034340","response to type I interferon","4/18","90/18888",0.0444444444444444,46.637037037037,13.40339032476,1.40143685402495e-06,0.000127562319880891,8.64886326589872e-05,"4599/3665/3434/9636",4
"GO:0009615","GO:0009615","response to virus","6/18","409/18888",0.0146699266503667,15.3936430317848,9.08918497117792,1.47980055418223e-06,0.000127562319880891,8.64886326589872e-05,"91543/10561/4599/3665/3434/9636",6
"GO:0048525","GO:0048525","negative regulation of viral process","4/18","93/18888",0.043010752688172,45.1326164874552,13.176855338425,1.59852531179062e-06,0.000127562319880891,8.64886326589872e-05,"91543/4599/3434/9636",4
"GO:0019079","GO:0019079","viral genome replication","4/18","129/18888",0.0310077519379845,32.5374677002584,11.1006554982949,5.89989554065927e-06,0.000392343053453841,0.000266012834026216,"91543/4599/3434/9636",4
"GO:0051607","GO:0051607","defense response to virus","5/18","307/18888",0.0162866449511401,17.0901194353963,8.77860901208699,7.90790464611255e-06,0.000442699063517178,0.000300154753525695,"91543/4599/3665/3434/9636",5
"GO:1903900","GO:1903900","regulation of viral life cycle","4/18","143/18888",0.027972027972028,29.3519813519814,10.5109145039668,8.87617169959253e-06,0.000442699063517178,0.000300154753525695,"91543/4599/3434/9636",4
"GO:0050792","GO:0050792","regulation of viral process","4/18","168/18888",0.0238095238095238,24.984126984127,9.6440049846264,1.67653289200582e-05,0.000743262915455914,0.000503940296193562,"91543/4599/3434/9636",4
"GO:0016032","GO:0016032","viral process","5/18","428/18888",0.0116822429906542,12.2585669781931,7.27647337553967,3.91878762408594e-05,0.00156359626201029,0.00106013517830535,"91543/4599/3665/3434/9636",5
"GO:0071357","GO:0071357","cellular response to type I interferon","3/18","84/18888",0.0357142857142857,37.4761904761905,10.3479849711732,6.59794059635024e-05,0.00239325299813068,0.00162265141938948,"3665/3434/9636",3
"GO:0019058","GO:0019058","viral life cycle","4/18","319/18888",0.0125391849529781,13.1577847439916,6.76374655735671,0.000202617937217609,0.00673704641248551,0.00456779033902856,"91543/4599/3434/9636",4
"GO:0032728","GO:0032728","positive regulation of interferon-beta production","2/18","40/18888",0.05,52.4666666666667,10.0636423258633,0.000654860721748524,0.0200991867675124,0.013627466031528,"3665/9636",2
"GO:0060338","GO:0060338","regulation of type I interferon-mediated signaling pathway","2/18","45/18888",0.0444444444444444,46.637037037037,9.466304403347,0.000828827768389916,0.0236215913991126,0.0160156944718954,"3665/9636",2
"GO:0140374","GO:0140374","antiviral innate immune response","2/18","50/18888",0.04,41.9733333333333,8.95984909914354,0.00102268088846327,0.0272033116331231,0.018444139532285,"4599/3434",2
"GO:0032608","GO:0032608","interferon-beta production","2/18","59/18888",0.0338983050847458,35.5706214689266,8.2139368113678,0.00142118124738644,0.0333559598651288,0.0226157015837966,"3665/9636",2
"GO:0032648","GO:0032648","regulation of interferon-beta production","2/18","59/18888",0.0338983050847458,35.5706214689266,8.2139368113678,0.00142118124738644,0.0333559598651288,0.0226157015837966,"3665/9636",2
"GO:0046847","GO:0046847","filopodium assembly","2/18","68/18888",0.0294117647058824,30.8627450980392,7.61914373617585,0.00188256170958064,0.0417301178957043,0.0282934713077325,"9576/26052",2
"GO:0032481","GO:0032481","positive regulation of type I interferon production","2/18","73/18888",0.0273972602739726,28.7488584474886,7.33645457494343,0.00216569212399097,0.0454795346038104,0.0308356163914504,"3665/9636",2
