"Gene_Symbol","Log2_Fold_Change","P_Value","Adj_P_Value","Expression_Change"
"TMEM132B",-5.705,"8.46e-09","7.14e-05","Down-regulated"
"IGKV4-1",-4.708,"3.25e-06","5.15e-03","Down-regulated"
"TUBB2B",-4.664,"1.34e-07","4.24e-04","Down-regulated"
"MTND1P23",4.658,"5.51e-14","1.40e-09","Up-regulated"
NA,-4.641,"3.02e-05","2.55e-02","Down-regulated"
"NRG3",-4.544,"3.77e-05","2.83e-02","Down-regulated"
"IGLC5",-4.435,"3.62e-08","1.83e-04","Down-regulated"
"IGKV1D-16",-4.308,"8.90e-05","4.41e-02","Down-regulated"
"OTP",4.297,"6.66e-06","8.03e-03","Up-regulated"
"LINC01088",-4.271,"7.86e-05","4.13e-02","Down-regulated"
"ZNF385B",-4.195,"1.53e-06","3.49e-03","Down-regulated"
NA,4.038,"9.82e-05","4.70e-02","Up-regulated"
NA,3.86,"1.02e-07","3.69e-04","Up-regulated"
"L1TD1",-3.815,"3.46e-05","2.83e-02","Down-regulated"
"CUX2",-3.665,"7.36e-05","4.01e-02","Down-regulated"
"KRT5",-3.638,"3.95e-05","2.86e-02","Down-regulated"
"SFRP4",-3.556,"9.26e-07","2.35e-03","Down-regulated"
"NPTX1",-3.48,"5.94e-05","3.59e-02","Down-regulated"
"GPR25",3.447,"3.79e-05","2.83e-02","Up-regulated"
"DNASE2B",-3.399,"8.21e-06","9.45e-03","Down-regulated"
"SLCO4C1",3.352,"2.50e-08","1.59e-04","Up-regulated"
NA,3.327,"1.03e-04","4.85e-02","Up-regulated"
"GDA",3.117,"4.95e-05","3.14e-02","Up-regulated"
NA,3.116,"8.32e-05","4.21e-02","Up-regulated"
"LINC01518",2.954,"1.63e-05","1.61e-02","Up-regulated"
NA,2.951,"2.12e-06","3.83e-03","Up-regulated"
"LOC101929305",2.934,"3.84e-06","5.41e-03","Up-regulated"
"COBL",-2.88,"3.79e-05","2.83e-02","Down-regulated"
NA,-2.876,"6.78e-05","3.82e-02","Down-regulated"
"LCT-AS1",2.845,"7.45e-05","4.01e-02","Up-regulated"
"THBS4",-2.772,"4.70e-05","3.05e-02","Down-regulated"
NA,-2.712,"3.82e-06","5.41e-03","Down-regulated"
"SPAG6",2.712,"1.12e-05","1.23e-02","Up-regulated"
"CABLES1",-2.477,"5.22e-05","3.23e-02","Down-regulated"
"FAM174B",2.382,"9.59e-08","3.69e-04","Up-regulated"
"SMOC1",2.298,"2.12e-05","1.92e-02","Up-regulated"
"CCDC192",2.272,"3.76e-12","4.77e-08","Up-regulated"
"MX1",2.239,"2.28e-06","3.85e-03","Up-regulated"
"GPR17",2.21,"4.19e-05","2.95e-02","Up-regulated"
"LNCTAM34A",2.167,"4.96e-06","6.61e-03","Up-regulated"
"RSAD2",2.11,"9.05e-05","4.41e-02","Up-regulated"
"IFIT1",2.008,"7.45e-07","2.10e-03","Up-regulated"
"CHD9NB",1.915,"7.99e-05","4.13e-02","Up-regulated"
"NKPD1",1.885,"1.25e-05","1.32e-02","Up-regulated"
"LOC105369363",1.875,"6.20e-05","3.62e-02","Up-regulated"
"CIMAP3",1.82,"1.65e-06","3.49e-03","Up-regulated"
"ISG15",1.799,"1.70e-05","1.61e-02","Up-regulated"
"SESN1",1.762,"5.74e-06","7.27e-03","Up-regulated"
"ENC1",1.678,"1.80e-06","3.51e-03","Up-regulated"
"CCDC191",1.656,"2.29e-05","2.00e-02","Up-regulated"
"IFI44",1.552,"4.50e-05","3.00e-02","Up-regulated"
"IRF7",1.413,"4.42e-05","3.00e-02","Up-regulated"
"DNM3",1.385,"6.29e-05","3.62e-02","Up-regulated"
NA,1.172,"1.71e-05","1.61e-02","Up-regulated"
